start_date: 2015-01-02
end_date: 2025-12-30
initial_capital: 100000
final_equity: 201234.25
total_return_pct: 101.23
cagr_pct: 6.57
max_drawdown_pct: -15.1
avg_drawdown_pct: -8.63
sharpe_ratio: 0.7
sortino_ratio: 0.69
win_rate: 18.13
avg_winner_pct: 10.13
avg_loser_pct: -1.33
profit_factor: 1.56
expectancy_per_trade: 0.75
total_trades: 557
avg_hold_days: 9.7
max_consecutive_losses: 24
exposure_pct: 53.04
trades_per_year: 50.7
